ID_village,City,Subdistrict,Village,Positive,Recovery,Mortality,Vaccine_d1,Vaccine_d2,Vaccine_d3
3174031004,JAKARTA SELATAN,MAMPANG PRAPATAN,TEGAL PARANG,3697,3621,45,26934,23194,10458
3173021003,JAKARTA BARAT,GROGOL PETAMBURAN,TOMANG,4595,4487,39,25285,23332,14567
3172031005,JAKARTA UTARA,KOJA,TUGU SELATAN,3528,3462,39,32853,28764,14699
3172031002,JAKARTA UTARA,KOJA,TUGU UTARA,6386,6258,102,56319,48431,24501
3175061006,JAKARTA TIMUR,CAKUNG,UJUNG MENTENG,3144,3071,30,25865,23617,13065
3174101005,JAKARTA SELATAN,PESANGGRAHAN,ULUJAMI,4790,4702,60,33936,30539,15288
3175011006,JAKARTA TIMUR,MATRAMAN,UTAN KAYU SELATAN,5499,5379,84,29020,26289,15174
3175011002,JAKARTA TIMUR,MATRAMAN,UTAN KAYU UTARA,3864,3764,70,23806,21231,11743
3171031008,JAKARTA PUSAT,KEMAYORAN,UTAN PANJANG,2708,2649,41,24693,21769,10806
3172021007,JAKARTA UTARA,TANJUNG PRIOK,WARAKAS,3975,3909,54,38382,33707,17148
3173021007,JAKARTA BARAT,GROGOL PETAMBURAN,WIJAYA KUSUMA,4856,4752,56,32642,29661,18140
